what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1295891999563
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1295891999563
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1295891999564
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1295891999564
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1295891999565
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1295891999565
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1295891999566
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1295891999568
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1295891999569
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1295891999570
started,bundle,org.eclipse.wst.common.emf,1.2.1.v201008260500,"org.eclipse.wst.common.emf",1295891999571
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.2.v201008242000,"org.eclipse.wst.common.emfworkbench.integration",1295891999572
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1295891999572
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1295891999573
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1295891999574
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1295891999575
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1295891999579
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1295891999580
os,sysinfo,,,"win32",1295891999584
arch,sysinfo,,,"x86_64",1295891999584
ws,sysinfo,,,"win32",1295891999584
locale,sysinfo,,,"en_CA",1295891999584
processors,sysinfo,,,"2",1295891999584
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1295891999584
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1295891999584
java.specification.name,sysinfo,,,"Java Platform API Specification",1295891999584
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295891999584
java.specification.version,sysinfo,,,"1.6",1295891999584
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1295891999584
java.version,sysinfo,,,"1.6.0_23",1295891999584
java.vm.info,sysinfo,,,"mixed mode",1295891999584
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1295891999584
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1295891999584
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295891999584
